TEAM	PROJECTED STARTER	ECR	HANDCUFF	ECR	ADP
Arizona Cardinals	Jeremiyah Love	12	Tyler Allgeier	44	13th round
Atlanta Falcons	Bijan Robinson	2	Brian Robinson Jr.	54	14th round
Baltimore Ravens	Derrick Henry	13	Justice Hill	69	22nd round
Buffalo Bills	James Cook III	6	Ray Davis	57	20th round
Carolina Panthers	Chuba Hubbard	30	Jonathon Brooks	39	9th round
Chicago Bears	D'Andre Swift	22	Kyle Monangai	35	8th round
Cincinnati Bengals	Chase Brown	7	Samaje Perine	79	30th round
Cleveland Browns	Quinshon Judkins	21	Dylan Sampson	48	16th round
Dallas Cowboys	Javonte Williams	17	Jaydon Blue	68	21st round
Denver Broncos	J.K. Dobbins	34	RJ Harvey	32	7th round
Detroit Lions	Jahmyr Gibbs	1	Isiah Pacheco	50	12th round
Green Bay Packers	Josh Jacobs	16	MarShawn Lloyd	64	23rd round
Houston Texans	David Montgomery	23	Woody Marks	43	12th round
Indianapolis Colts	Jonathan Taylor	4	DJ Giddens	72	34th round
Jacksonville Jaguars	Bhayshul Tuten	25	Chris Rodriguez Jr.	46	12th round
Kansas City Chiefs	Kenneth Walker III	11	Emmett Johnson	61	17th round
Los Angeles Chargers	Omarion Hampton	9	Kimani Vidal	58	17th round
Los Angeles Rams	Kyren Williams	15	Blake Corum	37	9th round
Las Vegas Raiders	Ashton Jeanty	5	Mike Washington Jr.	63	20th round
Miami Dolphins	De'Von Achane	8	Ollie Gordon II	67	31st round
Minnesota Vikings	Jordan Mason	40	Aaron Jones Sr.	38	10th round
New England Patriots	TreVeyon Henderson	24	Rhamondre Stevenson	28	7th round
New Orleans Saints	Travis Etienne Jr.	18	Alvin Kamara	47	12th round
New York Giants	Cam Skattebo	19	Tyrone Tracy Jr.	42	12th round
New York Jets	Breece Hall	14	Braelon Allen	55	15th round
Philadelphia Eagles	Saquon Barkley	10	Tank Bigsby	52	15th round
Pittsburgh Steelers	Rico Dowdle	31	Jaylen Warren	26	6th round
Seattle Seahawks	Jadarian Price	27	Emanuel Wilson	60	17th round
San Francisco 49ers	Christian McCaffrey	3	Jordan James	76	19th round
Tampa Bay Buccaneers	Bucky Irving	20	Kenny Gainwell	33	9th round
Tennessee Titans	Tony Pollard	29	Tyjae Spears	45	13th round
Washington Commanders	Rachaad White	36	Jacory Croskey-Merritt	41	10th round
